song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
494,I Touch Myself,0,Divinyls,2018-07-12,2019-02-15,2,260.5
495,I Wish,0,Stevie Wonder,2014-11-21,2022-03-01,13,59.62
496,I'm Alright,0,Kenny Loggins,2018-07-05,2024-06-20,17,34.87
497,In Memory Of Elizabeth Reed,0,The Allman Brothers Band,2017-01-28,2023-10-08,3,171.75
498,In Your Eyes,0,Peter Gabriel,2020-06-20,2025-06-12,11,31.73
499,Inside Out,0,Spoon,2019-10-18,2025-02-13,16,26.06
500,It Burns Within,1,St. John's Revival,2014-12-20,2024-06-26,10,77.3
501,"It's All Over Now, Baby Blue",0,Bob Dylan,2015-04-18,2021-06-15,2,381.0
502,Jive Lee,1,Goose,2018-06-02,2025-06-22,85,6.36
503,Johnny B. Goode,0,Chuck Berry,2018-05-04,2018-05-04,1,542.0
504,Kung Fu Fighting,0,Carl Douglas,2016-11-23,2019-03-01,2,347.5
505,Lady Marmalade,0,Patti Labell,2019-10-31,2019-12-13,3,138.0
506,Let's Dance,0,David Bowie,2017-05-20,2018-04-21,9,73.0
507,Linus And Lucy,0,Vince Guaraldi,2014-12-20,2022-12-17,8,154.6
508,Liza Jane,0,African American Folk Song,2018-06-01,2024-06-25,19,28.16
509,Love Me Sexy,0,Jackie Moon,2019-10-31,2019-11-27,2,207.0
510,Love T.K.O.,0,Teddy Pendergrass,2018-04-06,2018-04-21,2,276.5
511,Lovely Day,0,Bill Withers,2020-01-24,2020-03-11,2,196.0
512,Madhuvan,1,Goose,2014-12-20,2025-06-19,171,4.96
513,Mas Que Nada,0,Sergio Mendes,2018-07-12,2025-06-19,24,21.71
514,Make The Move,0,Kenny Loggins,2018-07-05,2024-06-20,19,29.06
515,Me and Julio Down By The Schoolyard,0,Paul Simon,2018-04-21,2022-06-12,21,25.95
516,Mele Kalikimaka,0,Bing Crosby,2018-12-22,2018-12-22,1,478.0
519,Movin' Out (Anthony's Song),0,Billy Joel,2019-06-15,2021-11-10,14,31.71
520,Mr. Night,0,Kenny Loggins,2018-07-05,2018-07-05,1,523.0
521,My Generation,0,The Who,2018-07-12,2022-08-12,7,74.43
522,Never Never Gonna Give Ya Up,0,Barry White,2019-10-31,2019-10-31,1,414.0
523,New Speedway Boogie,0,Grateful Dead,2014-11-26,2014-11-26,1,774.0
524,Nights In White Satin,0,The Moody Blues,2020-01-25,2025-06-11,9,43.44
525,No Rain,0,Blind Melon,2018-06-02,2025-06-20,18,29.67
