id,Venue Name,City,State,Country,Times Played,Last Played
96,Bogart's,Cincinnati,OH,USA,5,2006-11-15
97,Bonnaroo Music & Arts Festival,Manchester,TN,USA,15,2023-06-18
98,Boondock Studios,Niles,MI,USA,2,2020-06-11
99,"Boot Pub, The",Whistler,BC,Canada,1,2001-06-23
100,Borders,Ann Arbor,MI,USA,1,2007-12-01
101,"Bottom Lounge, The",Chicago,IL,USA,1,2003-03-17
102,Bouckaert Farm,Fairburn,GA,USA,1,2007-10-14
103,Boulder Theater,Boulder,CO,USA,7,2024-12-31
104,"Bowery Ballroom, The",New York,NY,USA,3,2004-02-20
105,Breathless Punta Cana Resort & Spa,Punta Cana,,DR,12,2017-12-03
106,Brenton Skating Plaza,Des Moines,IA,USA,2,2016-06-29
107,Bridget McGuire's Filling Station,South Bend,IN,USA,1,1998-01-21
108,Britt Pavilion,Jacksonville,OR,USA,2,2024-07-17
109,Broadway Joe's,Buffalo,NY,USA,1,1999-07-10
110,Brooklyn Bowl,Brooklyn,NY,USA,11,2024-01-21
111,Brooklyn Bowl Las Vegas,Las Vegas,NV,USA,6,2023-02-25
112,Brooklyn Bowl London,London,,England,3,2014-06-21
113,Brooklyn Bowl Philadelphia,Philadelphia,PA,USA,3,2024-02-17
114,Brooklyn Steel,Brooklyn,NY,USA,7,2024-01-20
115,Brother Jimmy's,Chicago,IL,USA,4,2000-08-24
116,Brown Theatre,Louisville,KY,USA,1,2006-05-19
117,Brown University,Providence,RI,USA,1,2008-04-12
118,Buckeye Lake,Buckeye Lake,OH,USA,1,2002-05-25
119,Buffalo Place Rocks the Harbor,Buffalo,NY,USA,1,2009-06-26
120,Bunbury Festival,Cincinnati,OH,USA,1,2016-06-04
121,"Buskirk-Chumley Theater, The",Bloomington,IN,USA,7,2004-10-07
122,Buster's Billiards & Backroom,Lexington,KY,USA,3,2013-01-31
123,Buttermilk Ski Area,Aspen,CO,USA,1,2019-04-05
124,Byron Bay Bluesfest,Byron Bay,NSW,Australia,2,2010-04-05
125,"Cabooze, The",Minneapolis,MN,USA,5,2004-01-31
126,Cabooze Outdoor Plaza,Minneapolis,MN,USA,1,2013-07-05
127,Cain's Ballroom,Tulsa,OK,USA,10,2018-08-09
128,California Mid-State Fair,Paso Robles,CA,USA,1,2024-07-20
129,Calumet Arts Cafe,Buffalo,NY,USA,2,1999-10-23
130,Calvin Theatre,Northampton,MA,USA,8,2015-02-18
131,Camp Buzz Fall Ball,Oxford,OH,USA,1,2001-10-13
132,Canalside,Buffalo,NY,USA,2,2018-06-28
133,Cannery Ballroom,Nashville,TN,USA,1,2008-11-15
134,Cannery Row Revival - Mercy Lounge,Nashville,TN,USA,1,2006-08-19
135,"Canopy Club, The",Urbana,IL,USA,38,2018-10-18
136,Cape Cod Melody Tent,Hyannis,MA,USA,2,2023-06-03
137,Capitol Center for the Arts,Concord,NH,USA,1,2011-09-14
138,"Capitol Theatre, The",Port Chester,NY,USA,11,2025-02-01
139,"Capitol Theatre, The",Davenport,IA,USA,2,2009-07-16
140,Cargo at Whitney Peak,Reno,NV,USA,1,2015-03-08
141,Carling Academy Islington,London,,England,1,2008-03-14
142,Carnival's Celebration,Atlantic Ocean,,Atlantic Ocean,2,2005-01-09
143,Cat's Cradle,Carrboro,NC,USA,5,2004-12-06
144,"Catalyst, The",Santa Cruz,CA,USA,4,2007-06-10
145,Cathead Distillery,Jackson,MS,USA,1,2019-06-01
146,Catskill Chill Music Festival,Hancock,NY,USA,1,2011-09-10
147,"Caverns, The",Pelham,TN,USA,2,2024-08-25
148,"Caverns Outdoor Amphitheater, The",Pelham,TN,USA,4,2022-08-21
149,CBGB,New York,NY,USA,1,2006-04-21
150,CEFCU Center Stage at The Landing,Peoria,IL,USA,4,2017-07-23
151,Centennial Olympic Park,Atlanta,GA,USA,3,2022-04-30
152,Centennial Terrace,Sylvania,OH,USA,1,2010-07-07
153,Center for the Performing Arts - Governors State University,University Park,IL,USA,1,2004-05-07
154,Cervantes' Masterpiece Ballroom,Denver,CO,USA,4,2005-02-27
155,Chameleon Club,Lancaster,PA,USA,1,2004-07-15
156,Champlain Valley Exposition,Essex,VT,USA,1,2022-06-12
157,Charlottesville Pavilion,Charlottesville,VA,USA,1,2007-06-27
158,Charter One Pavilion at Northerly Island,Chicago,IL,USA,1,2008-07-19
159,Chastain Park Amphitheater,Atlanta,GA,USA,2,2017-08-18
160,Chautauqua Auditorium,Boulder,CO,USA,1,2013-06-08
161,Cheers,South Bend,IN,USA,1,1999-04-16
162,Chesterfield Amphitheater,Chesterfield,MO,USA,2,2018-08-10
163,"Chicago Theatre, The",Chicago,IL,USA,1,2006-03-10
164,"Chill, New City YMCA, The",Chicago,IL,USA,1,2004-08-22
165,Cicero's,St. Louis,MO,USA,4,2002-07-22
166,Cisco Systems Bluesfest,Ottawa,ON,Canada,1,2005-07-13
167,City Hall,Nashville,TN,USA,2,2007-11-16
168,City Opera House,Traverse City,MI,USA,1,2009-10-07
169,"Civic Theatre, The",New Orleans,LA,USA,1,2014-04-17
170,Clarke Memorial Fountain,Notre Dame,IN,USA,2,1998-10-28
171,"Classic Center, The",Athens,GA,USA,1,2014-08-29
172,Clearwater Theater,West Dundee,IL,USA,3,2003-10-22
