song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
446,Caution,0,Bob Marley,2014-12-20,2025-06-11,17,45.35
447,Chank,0,John Scofield,2014-11-21,2014-12-23,3,257.67
449,Christmas Must Be Tonight,0,The Band,2019-12-21,2022-12-16,2,197.0
450,Christmas Wrapping,0,The Waitresses,2017-12-23,2019-12-21,3,194.67
451,Cleanin' Up The Town,0,The Bus Boys,2018-10-26,2018-10-26,1,494.0
452,Cold Rain And Snow,0,Grateful Dead,2014-11-26,2024-10-25,2,386.0
453,Compared To What,0,Gene McDaniels,2017-07-08,2017-07-13,2,318.5
455,Crosseyed & Painless,0,Talking Heads,2016-04-15,2022-12-18,41,17.66
456,Dancing In The Moonlight,0,King Harvest,2014-12-20,2023-07-01,13,59.31
457,Danger Zone,0,Kenny Loggins,2016-11-23,2024-11-07,20,36.47
458,Day-O,0,Harry Belafonte,2018-12-22,2019-05-25,2,238.0
459,Doc Brown,1,Great Blue,2018-06-01,2025-05-31,45,12.11
460,Don't Do It,0,The Band,2016-08-12,2025-05-27,37,19.19
461,Doobie Song,1,Goose,2019-03-01,2025-06-19,24,19.33
462,Drive,1,Goose,2018-08-03,2025-06-20,112,4.93
463,Echo of a Rose,1,Vasudo,2018-08-02,2025-06-17,113,5.14
464,Electric Avenue,0,Eddy Grant,2018-12-22,2025-06-01,38,12.53
465,Elizabeth,1,Goose,2018-03-15,2025-02-10,62,9.13
466,Elmeg The Wise,1,St. John's Revival,2016-07-09,2025-05-30,23,32.5
467,Elmer Theme,0,Elmer Bernstein,2018-10-26,2018-10-26,1,494.0
468,Eminence Front,0,The Who,2019-04-18,2024-11-12,13,34.92
469,Escape (The Piña Colada Song),0,Rupert Holmes,2016-11-23,2024-06-18,28,24.75
471,Everywhere,0,Michelle Branch,2018-11-16,2019-12-08,3,162.67
472,I2I,0,Tevin Campbell,2019-06-15,2024-12-31,2,221.0
473,Factory Fiction,1,Vasudo,2016-10-09,2025-06-15,27,28.08
474,Feel Like Making Love,0,Bad Company,2019-10-05,2019-11-27,2,208.0
475,Feliz Navidad,0,Jose Feliciano,2018-12-22,2018-12-22,1,476.0
476,Fire On The Mountain,0,Grateful Dead,2014-11-26,2014-11-26,1,772.0
477,Fish In The Sea,0,Fat Freddy's Drop,2020-06-26,2025-06-20,27,12.7
478,Flodown,1,Vasudo,2015-09-26,2025-06-20,156,4.82
479,Get The Funk Out Ma Face,0,Brothers Johnson,2019-10-31,2023-04-21,7,58.86
480,Ghostbusters,0,Ray Parker Jr.,2018-10-26,2024-04-24,4,164.67
481,Ghostbusters Rap,0,Run DMC,2018-10-27,2022-10-14,20,24.65
482,Green River,0,Creedence Clearwater Revival,2016-07-09,2025-06-17,34,21.03
483,Gone Gone Good,1,Goose,2014-11-21,2015-03-14,3,257.67
484,Gringo,1,Goose,2014-12-20,2019-12-21,5,154.2
485,Hard To Handle,0,Otis Redding,2014-11-26,2023-01-15,7,110.29
486,Heart's On Fire,0,Passenger,2015-02-20,2015-02-20,1,766.0
488,Hollywood Nights,0,Bob Seger & The Silver Bullet Band,2018-05-03,2025-06-15,14,38.64
489,Home,0,Edward Sharp & The Magnetic Zeros,2018-03-15,2018-03-15,1,557.0
490,Honeybee,1,Goose,2019-12-21,2025-06-19,35,11.26
491,Feeling Hot Hot Hot,0,The Merrymen,2018-12-22,2019-12-06,14,34.0
492,Hot Night,0,Laura Branigan,2018-10-27,2020-06-20,6,98.6
493,I Shot The Sheriff,0,Bob Marley,2014-11-26,2015-04-18,2,386.0
494,I Touch Myself,0,Divinyls,2018-07-12,2019-02-15,2,259.5
495,I Wish,0,Stevie Wonder,2014-11-21,2022-03-01,13,59.46
496,I'm Alright,0,Kenny Loggins,2018-07-05,2024-06-20,17,34.73
497,In Memory Of Elizabeth Reed,0,The Allman Brothers Band,2017-01-28,2023-10-08,3,171.25
498,In Your Eyes,0,Peter Gabriel,2020-06-20,2025-06-12,11,31.55
499,Inside Out,0,Spoon,2019-10-18,2025-02-13,16,25.94
500,It Burns Within,1,St. John's Revival,2014-12-20,2024-06-26,10,77.1
501,"It's All Over Now, Baby Blue",0,Bob Dylan,2015-04-18,2021-06-15,2,380.0
502,Jive Lee,1,Goose,2018-06-02,2025-06-03,84,6.41
503,Johnny B. Goode,0,Chuck Berry,2018-05-04,2018-05-04,1,540.0
504,Kung Fu Fighting,0,Carl Douglas,2016-11-23,2019-03-01,2,346.5
505,Lady Marmalade,0,Patti Labell,2019-10-31,2019-12-13,3,137.33
506,Let's Dance,0,David Bowie,2017-05-20,2018-04-21,9,72.78
507,Linus And Lucy,0,Vince Guaraldi,2014-12-20,2022-12-17,8,154.2
508,Liza Jane,0,African American Folk Song,2018-06-01,2024-06-25,19,28.05
509,Love Me Sexy,0,Jackie Moon,2019-10-31,2019-11-27,2,206.0
510,Love T.K.O.,0,Teddy Pendergrass,2018-04-06,2018-04-21,2,275.5
511,Lovely Day,0,Bill Withers,2020-01-24,2020-03-11,2,195.0
512,Madhuvan,1,Goose,2014-12-20,2025-06-19,171,4.94
513,Mas Que Nada,0,Sergio Mendes,2018-07-12,2025-06-19,24,21.63
514,Make The Move,0,Kenny Loggins,2018-07-05,2024-06-20,19,28.94
515,Me and Julio Down By The Schoolyard,0,Paul Simon,2018-04-21,2022-06-12,21,25.86
516,Mele Kalikimaka,0,Bing Crosby,2018-12-22,2018-12-22,1,476.0
519,Movin' Out (Anthony's Song),0,Billy Joel,2019-06-15,2021-11-10,14,31.57
520,Mr. Night,0,Kenny Loggins,2018-07-05,2018-07-05,1,521.0
521,My Generation,0,The Who,2018-07-12,2022-08-12,7,74.14
522,Never Never Gonna Give Ya Up,0,Barry White,2019-10-31,2019-10-31,1,412.0
523,New Speedway Boogie,0,Grateful Dead,2014-11-26,2014-11-26,1,772.0
