date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
11/05/05,2005,11,05,Saturday,2005-11-05,THE FILLMORE AUDITORIUM,DENVER,CO,2183,99,1876,"THE FILLMORE AUDITORIUM, DENVER, CO",http://www.everydaycompanion.com/setlists/20051105a.asp
11/06/05,2005,11,06,Sunday,2005-11-06,THE FILLMORE AUDITORIUM,DENVER,CO,2184,100,1876,"THE FILLMORE AUDITORIUM, DENVER, CO",http://www.everydaycompanion.com/setlists/20051106a.asp
12/29/05,2005,12,29,Thursday,2005-12-29,THE ROXY,ATLANTA,GA,2185,101,1877,"THE ROXY, ATLANTA, GA",http://www.everydaycompanion.com/setlists/20051229a.asp
12/30/05,2005,12,30,Friday,2005-12-30,PHILIPS ARENA,ATLANTA,GA,2186,102,1878,"PHILIPS ARENA, ATLANTA, GA",http://www.everydaycompanion.com/setlists/20051230a.asp
12/31/05,2005,12,31,Saturday,2005-12-31,PHILIPS ARENA,ATLANTA,GA,2187,103,1878,"PHILIPS ARENA, ATLANTA, GA",http://www.everydaycompanion.com/setlists/20051231a.asp
04/21/06,2006,04,21,Friday,2006-04-21,WALNUT CREEK AMPHITHEATER,RALEIGH,NC,2188,1,1879,"WALNUT CREEK AMPHITHEATER, RALEIGH, NC",http://www.everydaycompanion.com/setlists/20060421a.asp
04/22/06,2006,04,22,Saturday,2006-04-22,WALNUT CREEK AMPHITHEATER,RALEIGH,NC,2189,2,1879,"WALNUT CREEK AMPHITHEATER, RALEIGH, NC",http://www.everydaycompanion.com/setlists/20060422a.asp
05/08/06,2006,05,08,Monday,2006-05-08,FOX THEATER,ATLANTA,GA,2190,3,1880,"FOX THEATER, ATLANTA, GA",http://www.everydaycompanion.com/setlists/20060508a.asp
05/09/06,2006,05,09,Tuesday,2006-05-09,FOX THEATER,ATLANTA,GA,2191,4,1880,"FOX THEATER, ATLANTA, GA",http://www.everydaycompanion.com/setlists/20060509a.asp
06/13/06,2006,06,13,Tuesday,2006-06-13,IRVING PLAZA,NEW YORK,NY,2192,5,1881,"IRVING PLAZA, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20060613a.asp
06/15/06,2006,06,15,Thursday,2006-06-15,ED SULLIVAN THEATER,NEW YORK,NY,2193,6,1882,"ED SULLIVAN THEATER, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20060615a.asp
06/21/06,2006,06,21,Wednesday,2006-06-21,STARLIGHT THEATRE,KANSAS CITY,MO,2194,7,1883,"STARLIGHT THEATRE, KANSAS CITY, MO",http://www.everydaycompanion.com/setlists/20060621a.asp
06/23/06,2006,06,23,Friday,2006-06-23,RED ROCKS,MORRISON,CO,2195,8,1884,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20060623a.asp
06/24/06,2006,06,24,Saturday,2006-06-24,RED ROCKS,MORRISON,CO,2196,9,1884,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20060624a.asp
06/25/06,2006,06,25,Sunday,2006-06-25,RED ROCKS,MORRISON,CO,2197,10,1884,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20060625a.asp
06/28/06,2006,06,28,Wednesday,2006-06-28,BAYSIDE AT EMBARCADERO MARINA PARK SOUTH,SAN DIEGO,CA,2198,11,1885,"BAYSIDE AT EMBARCADERO MARINA PARK SOUTH, SAN DIEGO, CA",http://www.everydaycompanion.com/setlists/20060628a.asp
06/29/06,2006,06,29,Thursday,2006-06-29,WILTERN THEATRE,LOS ANGELES,CA,2199,12,1886,"WILTERN THEATRE, LOS ANGELES, CA",http://www.everydaycompanion.com/setlists/20060629a.asp
06/30/06,2006,06,30,Friday,2006-06-30,WILTERN THEATRE,LOS ANGELES,CA,2200,13,1886,"WILTERN THEATRE, LOS ANGELES, CA",http://www.everydaycompanion.com/setlists/20060630a.asp
07/01/06,2006,07,01,Saturday,2006-07-01,WILTERN THEATRE,LOS ANGELES,CA,2201,14,1886,"WILTERN THEATRE, LOS ANGELES, CA",http://www.everydaycompanion.com/setlists/20060701a.asp
07/03/06,2006,07,03,Monday,2006-07-03,MONT BLEU SHOWROOM,STATELINE,NV,2202,15,1887,"MONT BLEU SHOWROOM, STATELINE, NV",http://www.everydaycompanion.com/setlists/20060703a.asp
07/04/06,2006,07,04,Tuesday,2006-07-04,MONT BLEU SHOWROOM,STATELINE,NV,2203,16,1887,"MONT BLEU SHOWROOM, STATELINE, NV",http://www.everydaycompanion.com/setlists/20060704a.asp
07/05/06,2006,07,05,Wednesday,2006-07-05,MONT BLEU SHOWROOM,STATELINE,NV,2204,17,1887,"MONT BLEU SHOWROOM, STATELINE, NV",http://www.everydaycompanion.com/setlists/20060705a.asp
07/07/06,2006,07,07,Friday,2006-07-07,GREEK THEATRE,BERKELEY,CA,2205,18,1888,"GREEK THEATRE, BERKELEY, CA",http://www.everydaycompanion.com/setlists/20060707a.asp
07/08/06,2006,07,08,Saturday,2006-07-08,GREEK THEATRE,BERKELEY,CA,2206,19,1888,"GREEK THEATRE, BERKELEY, CA",http://www.everydaycompanion.com/setlists/20060708a.asp
07/11/06,2006,07,11,Tuesday,2006-07-11,CUTHBERT AMPHITHEATER,EUGENE,OR,2207,20,1889,"CUTHBERT AMPHITHEATER, EUGENE, OR",http://www.everydaycompanion.com/setlists/20060711a.asp
07/12/06,2006,07,12,Wednesday,2006-07-12,EDGEFIELD,TROUTDALE,OR,2208,21,1890,"EDGEFIELD, TROUTDALE, OR",http://www.everydaycompanion.com/setlists/20060712a.asp
07/13/06,2006,07,13,Thursday,2006-07-13,KMTT STUDIOS,SEATTLE,WA,2209,22,1891,"KMTT STUDIOS, SEATTLE, WA",http://www.everydaycompanion.com/setlists/20060713a.asp
07/14/06,2006,07,14,Friday,2006-07-14,MARYMOOR PARK AMPHITHEATER,REDMOND,WA,2210,23,1892,"MARYMOOR PARK AMPHITHEATER, REDMOND, WA",http://www.everydaycompanion.com/setlists/20060714a.asp
07/15/06,2006,07,15,Saturday,2006-07-15,MARYMOOR PARK AMPHITHEATER,REDMOND,WA,2211,24,1892,"MARYMOOR PARK AMPHITHEATER, REDMOND, WA",http://www.everydaycompanion.com/setlists/20060715a.asp
07/18/06,2006,07,18,Tuesday,2006-07-18,BRUNDAGE MOUNTAIN AMPHITHEATRE,MCCALL,ID,2212,25,1893,"BRUNDAGE MOUNTAIN AMPHITHEATRE, MCCALL, ID",http://www.everydaycompanion.com/setlists/20060718a.asp
