song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Midnight Rider,1,2024-08-14,20,,
Nellie Kane,1,2024-08-06,35,,
Nothing,1,2024-10-26,18,,
I Didn't Know,1,2024-08-03,37,,
Ginseng Sullivan,1,2024-08-07,34,,
Guelah Papyrus,1,2024-08-30,29,,
Guy Forget,1,2024-08-03,37,,
Good Times Bad Times,1,2024-07-26,43,,
Miss You,1,2024-07-31,39,,
Moonage Daydream,1,2024-07-27,42,,
Mr. Completely,1,2024-07-31,39,,
McGrupp and the Watchful Hosemasters,1,2024-08-04,36,,
Horn,1,2024-07-31,39,,
Guyute,1,2024-07-23,45,,
Icculus,1,2024-12-31,13,,
Lengthwise,1,2024-12-30,14,,
Leaves,1,2024-07-24,44,,
Lawn Boy,1,2024-07-31,39,,
Knuckle Bone Broth Avenue,1,2024-08-04,36,,
Rock and Roll,1,2024-08-03,37,,
Poor Heart,1,2024-12-28,16,,
The Dogs,1,2024-08-04,36,,
The Connection,1,2024-07-21,46,,
Silent in the Morning,1,2024-07-26,43,,
Soul Planet,1,2024-08-04,36,,
Strawberry Letter 23,1,2024-08-06,35,,
Sugar Shack,1,2024-08-29,30,,
Seven Below,1,2024-12-30,14,,
Scent of a Mule,1,2024-08-02,38,,
Round Room,1,2024-12-28,16,,
Sabotage,1,2024-09-01,27,,
Shine a Light,1,2024-08-09,33,,
Sightless Escape,1,2025-01-31,24,,
Soul Shakedown Party,1,2025-02-01,23,,
Stairway to Heaven,1,2024-08-14,20,,
Turtle in the Clouds,1,2024-07-31,39,,
Train Song,1,2024-08-06,35,,
Thread,1,2024-07-21,46,,
The Final Hurrah,1,2024-08-04,36,,
The Landlady,1,2025-04-27,5,,
The Horse,1,2024-07-26,43,,
The Mango Song,1,2024-12-28,16,,
The Oh Kee Pa Ceremony,1,2024-08-02,38,,
Waves,1,2024-08-10,32,,
Vultures,1,2024-07-30,40,,
When the Circus Comes,1,2024-07-20,47,,
Weigh,1,2024-08-10,32,,
Wingsuit,1,2024-08-04,36,,
Winterqueen,1,2024-12-30,14,,
Woodlands Jam,1,2024-08-16,51,,
Your Pet Cat,1,2024-08-16,51,,
