song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Liza Jane,1,2024-06-25,62,,
Low Rider,1,2024-12-30,21,,
(satellite),1,2024-09-13,36,,
Everybody Wants To Rule The World,1,2024-10-31,32,,
Magic Carpet Ride,1,2024-06-18,67,,
Make The Move,1,2024-06-20,66,,
Moonrise,1,2024-11-10,26,,
Escape (The Piña Colada Song),1,2024-06-18,67,,
No Rain,1,2024-06-28,60,,
Not Alone,1,2024-11-07,29,,
One More Day,1,2024-09-20,49,,
Praise You,1,2024-06-30,58,,
Ride Like The Wind,1,2025-05-08,18,,
Rosa Lee McFall,1,2024-09-06,56,,
Draggin' the Line,1,2024-09-24,46,,
Secret Agent Man,1,2024-06-23,63,,
Ship Of Fools,1,2024-10-01,19,,
Sleepwalk,1,2024-06-16,68,,
Slip Slidin’ Away,1,2024-12-14,22,,
Mad World,1,2024-09-20,49,,
