song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
512,Madhuvan,1,Goose,2014-12-20,2025-06-10,169,4.94
513,Mas Que Nada,0,Sergio Mendes,2018-07-12,2025-05-31,23,22.35
514,Make The Move,0,Kenny Loggins,2018-07-05,2024-06-20,19,28.67
515,Me and Julio Down By The Schoolyard,0,Paul Simon,2018-04-21,2022-06-12,21,25.62
516,Mele Kalikimaka,0,Bing Crosby,2018-12-22,2018-12-22,1,471.0
519,Movin' Out (Anthony's Song),0,Billy Joel,2019-06-15,2021-11-10,14,31.21
520,Mr. Night,0,Kenny Loggins,2018-07-05,2018-07-05,1,516.0
521,My Generation,0,The Who,2018-07-12,2022-08-12,7,73.43
522,Never Never Gonna Give Ya Up,0,Barry White,2019-10-31,2019-10-31,1,407.0
523,New Speedway Boogie,0,Grateful Dead,2014-11-26,2014-11-26,1,767.0
524,Nights In White Satin,0,The Moody Blues,2020-01-25,2025-06-11,9,42.67
525,No Rain,0,Blind Melon,2018-06-02,2024-06-28,17,31.0
526,On Our Own,0,Bobby Brown,2018-10-26,2018-10-26,1,489.0
527,One More Day,0,The Wood Brothers,2015-04-18,2024-09-20,13,58.08
528,One More Saturday Night,0,Grateful Dead,2014-12-20,2021-12-31,21,38.3
529,One Way Out,0,The Allman Brothers Band,2017-01-28,2017-07-08,2,340.0
530,Peaches En Regalia,0,Frank Zappa,2016-10-09,2019-09-06,7,99.57
531,Peggy-O,0,Grateful Dead,2015-02-20,2024-11-12,16,47.56
532,Pinche Gringo,1,Goose,2015-03-14,2015-03-14,1,758.0
533,Praise You,0,Fatboy Slim,2016-04-15,2024-06-30,9,89.88
534,Pumped Up Kicks,0,Foster The People,2016-11-23,2025-06-01,25,27.52
536,Red Bird,1,Goose,2022-01-29,2025-05-31,52,5.19
537,Red Red Wine,0,UB40,2018-12-22,2018-12-22,1,471.0
538,Rosa Lee McFall,0,Grateful Dead,2019-08-08,2024-09-06,3,141.67
539,Rosetta,0,Earl Hines,2014-12-20,2015-02-20,3,255.33
541,Same Old Shenanigans,1,Goose,2016-03-19,2025-06-01,56,12.93
542,Savin' The Day,0,Alessi Brothers,2018-10-27,2018-10-27,1,488.0
543,Sco-Mule,0,Government Mule ft. John Scofield,2014-11-26,2021-11-16,8,95.88
544,Secret Agent Man,0,Johnny Rivers,2018-07-12,2024-06-23,5,128.5
545,Shama Lama Ding Dong,0,Otis Day and The Knights,2016-10-09,2025-02-11,43,16.21
546,She Drives Me Crazy,0,Fine Young Cannibals,2017-08-19,2017-08-19,1,617.0
547,Shelter From The Storm,0,Bob Dylan,2020-06-28,2020-06-28,1,336.0
548,Shoe Dog,0,John Scofield,2014-11-26,2014-11-26,1,767.0
549,Short People,0,Randy Newman,2019-10-31,2019-12-13,3,135.67
550,Shout,0,The Isley Brothers,2014-12-20,2020-03-05,8,95.75
551,Sleepwalk,0,Santo & Johnny,2019-10-19,2024-06-16,4,102.25
552,Soul Bossa Nova,0,Quincy Jones,2018-07-12,2021-10-31,3,257.0
553,Soul Shakedown Party,0,Bob Marley,2016-10-09,2017-08-19,4,174.25
555,Spain,0,Chick Corea,2015-10-01,2024-06-25,4,184.0
556,Spanish Moon,0,Little Feat,2016-10-09,2017-10-02,2,348.5
557,Spirit Of The Dark Horse,1,Goose,2014-11-26,2025-06-11,36,21.31
558,State Of The Art (A.E.I.O.U.),0,Jim James,2020-09-17,2025-06-06,11,30.09
559,Stormy Monday,0,The Allman Brothers Band,2018-05-04,2018-05-04,1,535.0
560,Strokin',0,Clarence Carter,2018-04-21,2021-06-19,6,89.67
561,Summertime Blues,0,Eddie Cochran,2018-07-05,2018-07-05,1,516.0
562,Suzie Q,0,Creedence Clearwater Revival,2025-06-06,2025-06-06,1,5.0
563,Sweet Home Chicago,0,The Blues Brothers,2019-12-21,2019-12-21,1,389.0
564,Switchin',0,Wes Montgomery,2015-02-20,2024-09-03,27,28.19
565,Take On Me,0,A-Ha,2016-11-23,2024-10-26,9,76.44
566,Tennessee Jed,0,Grateful Dead,2014-11-26,2019-11-27,3,255.67
567,The Big Bang,0,Johnny Mandel,2018-07-05,2018-07-05,1,516.0
569,The Waking End,1,Goose,2014-11-21,2014-11-21,1,768.0
570,The Way It Is,0,Bruce Hornsby,2018-05-03,2025-06-04,40,13.4
571,These Boots Are Made For Walkin',0,Nancy Sinatra,2018-07-12,2018-07-12,1,514.0
572,This Old Sea,1,Goose,2014-12-20,2025-05-27,38,20.16
573,Tomorrow Never Knows,0,The Beatles,2019-12-21,2025-06-04,13,29.92
574,Travelers,1,Goose,2020-06-19,2025-05-30,28,12.25
575,Tried & Tempted,0,The Wood Brothers,2015-02-20,2015-02-20,1,761.0
576,Trouble,0,Elvis Presley,2019-11-27,2023-10-01,3,132.67
577,Turkish Hills,1,Goose,2018-08-02,2018-11-16,2,254.5
578,Turn On Your Love Light,0,Bobby Blue Bland,2016-04-20,2025-06-03,52,13.79
579,Two Tickets To Paradise,0,Eddie Money,2019-07-13,2019-07-13,1,429.0
580,Up On Cripple Creek,0,The Band,2016-04-15,2017-07-15,6,119.83
581,Use Me,0,Bill Withers,2014-11-21,2022-03-10,6,128.0
582,The W.S. Walcott Medicine Show,0,The Band,2018-03-15,2024-09-24,19,30.67
583,Wake Up,0,Arcade Fire,2015-02-20,2022-06-25,2,380.5
585,What The World Needs Now Is Love,0,Sergio Mendes,2018-07-12,2018-07-12,1,514.0
586,White Lights,1,Goose,2018-12-22,2025-02-13,73,7.03
587,Why Can't We Be Friends,0,War,2019-10-31,2019-10-31,1,407.0
588,Wild Night,0,Van Morrison,2014-12-20,2025-02-11,19,40.32
590,Your Ocean,1,Goose,2015-04-18,2025-06-03,35,21.57
591,Look Out Cleveland,0,The Band,2020-10-03,2024-09-22,10,32.8
592,Me & My Uncle,0,John Philips,2014-11-26,2025-05-10,36,21.31
593,(Marie's The Name) His Latest Flame,0,Elvis Presley,2019-06-28,2022-08-20,4,108.25
595,"Well, You Can Do It Without Me",0,Father John Misty,2020-09-11,2020-09-11,1,334.0
596,Love And Happiness,0,Al Green,2019-10-05,2019-10-05,1,411.0
597,Night Moves,0,Bob Seger & The Silver Bullet Band,2019-10-05,2019-10-05,1,411.0
598,Ship Of Fools,0,Grateful Dead,2024-10-01,2024-10-01,1,53.0
599,Gun Street Girl,0,Tom Waits,2020-03-21,2022-09-30,4,89.25
601,Atlantic City,0,Bruce Springsteen,2020-03-15,2024-11-10,4,89.5
602,AUATC,0,Bon Iver,2020-10-19,2025-06-11,10,32.5
603,Lily's Tiger,1,Great Blue,2020-11-06,2024-09-15,3,107.33
604,The Empress Of Organos,1,Vasudo,2020-11-06,2025-06-07,82,4.6
605,Earthling or Alien?,1,Goose,2020-11-06,2025-06-12,47,7.0
606,The Killing Moon,0,Echo & The Bunnymen,2020-11-07,2024-09-14,6,53.5
607,Head Over Heels,0,Tears For Fears,2020-11-07,2020-11-07,2,321.0
608,Notorious,0,Duran Duran,2020-11-07,2020-11-07,1,321.0
609,Seekers on the Ridge pt I,1,Goose,2020-11-07,2025-06-04,51,6.29
610,Seekers on the Ridge pt II,1,Goose,2020-11-07,2025-06-04,51,6.29
611,Mad World,0,Tears For Fears,2020-11-07,2024-09-20,2,160.5
612,Love Is A Battlefield,0,Pat Benatar,2020-12-11,2025-02-14,7,45.71
613,You and Whose Army,0,Radiohead,2020-12-11,2021-11-07,2,160.0
614,Brokedown Palace,0,Grateful Dead,2021-06-18,2024-10-25,3,102.67
620,Jack-A-Roe,0,Traditional,2022-06-24,2022-06-24,1,233.0
628,Interlude III,1,Goose,2024-04-08,2024-04-08,1,101.0
630,Shakedown Street,0,Grateful Dead,2016-11-23,2016-11-23,1,688.0
631,Revival,0,The Allman Brothers Band,2017-05-20,2017-05-20,1,650.0
631,Revival,0,Zach Williams,2017-07-08,2017-09-01,4,158.0
632,Wasted Words,0,The Allman Brothers Band,2017-01-28,2017-01-28,1,680.0
633,Psycho Killer,0,Talking Heads,2016-11-23,2025-06-06,4,172.0
634,First Tube,0,Phish,2016-10-09,2016-11-23,2,348.5
635,I Will Survive,0,Gloria Gaynor,2016-11-23,2016-11-23,1,688.0
636,(satellite),1,Goose,2018-06-01,2024-09-13,3,176.0
637,(dawn),1,Goose,2022-01-26,2025-02-15,9,30.33
639,The Labyrinth,1,Goose,2021-06-11,2024-12-31,10,31.3
641,Franklin's Tower,0,Grateful Dead,2024-12-14,2024-12-14,1,32.0
645,Hot Love & The Lazy Poet,1,Vasudo,2024-04-07,2025-06-12,25,4.08
646,Turbulence & The Night Rays,1,Vasudo,2022-06-10,2025-06-06,41,5.83
647,Your Direction,1,Vasudo,2025-04-24,2025-06-07,5,4.0
650,The Night They Drove Old Dixie Down,0,The Band,2016-06-17,2024-06-22,2,356.0
651,The Shape I'm In,0,The Band,2023-10-01,2023-10-01,1,122.0
656,Back On The Train,0,Phish,2014-12-23,2019-05-04,2,382.5
659,U.S. Blues,0,Grateful Dead,2023-07-04,2023-07-04,1,142.0
662,Funky Bitch,0,Son Seals,2016-10-09,2016-10-09,1,697.0
